run_dir,mean_val_acc,fold_results,augment,base_channels,batch_size,dropout,epochs,k_folds,label_smoothing,lr,norm,output_dir,run_name,seed,val_split,weight_decay
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_000852,0.8123799086480769,"[0.8052438951220976, 0.8240835183296334, 0.8078123124924997]",true,32,128,0.0,20,3,0.0,0.01,"""batch""","""outputs""","""auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_041141,0.7735799274174123,"[0.7765644687106258, 0.7742245155096898, 0.7699507980319212]",true,32,128,0.2,20,3,0.0,0.01,"""batch""","""outputs""","""auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_012317,0.7724401170202926,"[0.756644867102658, 0.7823843523129538, 0.7782911316452659]",true,32,128,0.0,20,3,0.0,0.01,"""group""","""outputs""","""auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005_20251117_023056,0.7219002373822678,"[0.7051658966820663, 0.7267654646907061, 0.7337693507740309]",true,32,128,0.0,20,3,0.0,0.001,"""batch""","""outputs""","""auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_072601,0.7017601265639394,"[0.6991060178796424, 0.6980860382792344, 0.7080883235329413]",true,32,128,0.3,20,3,0.0,0.01,"""batch""","""outputs""","""auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005_20251117_032339,0.6805199885441869,"[0.6707265854682907, 0.6908861822763545, 0.6799471978879155]",true,32,128,0.0,20,3,0.0,0.001,"""group""","""outputs""","""auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_050107,0.6691195985272662,"[0.6709065818683626, 0.6874062518749625, 0.6490459618384735]",true,32,128,0.2,20,3,0.0,0.01,"""group""","""outputs""","""auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_081512,0.6094197004815454,"[0.6003479930401392, 0.6334673306533869, 0.59444377775111]",true,32,128,0.3,20,3,0.0,0.01,"""group""","""outputs""","""auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005_20251117_054857,0.5876200716715295,"[0.5834283314333714, 0.5882282354352913, 0.5912036481459259]",true,32,128,0.2,20,3,0.0,0.001,"""batch""","""outputs""","""auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005""",42,0.1,0.0005
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005_20251117_063809,0.5220399156159443,"[0.5142497150056999, 0.5340493190136197, 0.5178207128285132]",true,32,128,0.2,20,3,0.0,0.001,"""group""","""outputs""","""auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005""",42,0.1,0.0005
