epoch,train_loss,val_loss,train_acc,val_acc
1,2.0802200568728977,2.2781347236633303,0.1935111111111111,0.18
2,1.9057167418797811,2.2737517723083496,0.2457777777777778,0.1976
3,1.8316779904259575,2.0087198383331297,0.27495555555555556,0.246
4,1.7932348286098905,2.0799050262451173,0.29104444444444444,0.2418
5,1.7606684499104819,1.823775202178955,0.3121111111111111,0.3148
6,1.7311655835681492,1.942125394821167,0.3272,0.292
7,1.697983561960856,1.8533945835113526,0.3438888888888889,0.3232
8,1.6676722965240478,1.8393153507232667,0.35702222222222224,0.3296
9,1.6414729549619886,1.7434437786102295,0.3684222222222222,0.3652
10,1.6119660236994426,1.7697317718505858,0.3828666666666667,0.3742
11,1.5857779148525661,1.6034770572662354,0.3931777777777778,0.4224
12,1.5650560907787747,1.5472685657501222,0.4079777777777778,0.4328
13,1.5271718061023287,1.597270753097534,0.4270888888888889,0.4328
14,1.4984084961573283,1.4774907863616944,0.4427333333333333,0.477
15,1.4676777231004503,1.4078074323654175,0.4544222222222222,0.4946
16,1.4405507212109037,1.5038906698226928,0.4660666666666667,0.4674
17,1.4106616861131456,1.3182932247161865,0.4797111111111111,0.5324
18,1.3941124106301201,1.3561117290496827,0.4888888888888889,0.5156
19,1.3668093641281127,1.4214971643447876,0.5008888888888889,0.51
20,1.3468580774095322,1.253790520477295,0.5097777777777778,0.555
21,1.2871114306343927,1.3101870250701904,0.5305333333333333,0.5426
22,1.2621012366400826,1.2598517950057984,0.5399111111111111,0.5476
23,1.2600932867474026,1.2475819438934326,0.5414222222222222,0.5578
24,1.2481889812893339,1.2647152065277099,0.5464888888888889,0.551
25,1.2388987833446927,1.2656576551437377,0.5500444444444444,0.554
26,1.2408786713070339,1.2973991937637328,0.5483111111111111,0.5464
27,1.2311505700005425,1.2590931886672974,0.554,0.554
28,1.2277029452006023,1.2693578216552734,0.5548666666666666,0.5562
29,1.2268595209969415,1.2365446825027466,0.5563111111111111,0.5656
30,1.2228238757875232,1.2426367988586426,0.5577777777777778,0.5584
