epoch,train_loss,val_loss,train_acc,val_acc
1,1.8522392189237806,1.5572196496963502,0.2897111111111111,0.409
2,1.5723568513870239,1.3447563243865968,0.40955555555555556,0.5002
3,1.420093864356147,1.2184851137161254,0.4757111111111111,0.541
4,1.3091232918845284,1.1429014674186706,0.5203555555555556,0.5828
5,1.2243839007059734,1.037905602645874,0.5500222222222222,0.6186
6,1.1661115087297227,1.014796879863739,0.5775777777777777,0.6302
7,1.1025681508170233,0.9136090915679932,0.6016888888888889,0.6672
8,1.052671632554796,0.897377583694458,0.6224,0.6704
9,1.0112078205956354,0.8337600546836853,0.6382222222222222,0.7014
10,0.971400707244873,0.7955434727191925,0.6531777777777777,0.7154
11,0.9355510291205512,0.7547604689598083,0.6661555555555555,0.7214
12,0.9023625770992703,0.7399713334560394,0.6801777777777778,0.737
13,0.8697582944658068,0.7145505743980408,0.6935777777777777,0.7438
14,0.8443785180727641,0.7018721256256103,0.7044666666666667,0.7496
15,0.8143310612572564,0.6492407291889191,0.7156222222222223,0.7708
16,0.7825687486118741,0.6146959805011749,0.7278666666666667,0.7782
17,0.7623662194887797,0.5766931423902512,0.7357555555555556,0.793
18,0.7366590308507284,0.5752541239261627,0.7460888888888889,0.7974
19,0.7217357568952772,0.5607920828580857,0.7509333333333333,0.8012
20,0.7032695544984605,0.5522540698885917,0.7572888888888889,0.8048
21,0.6357457468456692,0.503291607439518,0.7798222222222222,0.8214
22,0.6081323594199286,0.47746639070510866,0.7924444444444444,0.8244
23,0.5912977856212193,0.48211178312897685,0.7968666666666666,0.828
24,0.584614171134101,0.4710503779411316,0.7984888888888889,0.8356
25,0.580536775610182,0.47330691426992416,0.8008444444444445,0.8316
26,0.5733982979668512,0.4692375342607498,0.8052666666666667,0.8342
27,0.5673165967835321,0.4707981410861015,0.8067777777777778,0.8326
28,0.562687803946601,0.46092364444732664,0.8051777777777778,0.839
29,0.5587806163999769,0.4440960409283638,0.8087333333333333,0.8406
30,0.5609234658347236,0.44973033422231673,0.8082,0.8436
31,0.5475501705911424,0.4440200163602829,0.812,0.8436
32,0.5457154251840379,0.4429393851876259,0.8128444444444445,0.8456
33,0.5452828026029799,0.4454192240834236,0.8121777777777778,0.8416
34,0.5381089170614878,0.4381392539858818,0.8139777777777778,0.8434
35,0.5390200084209442,0.44137284260988235,0.8148888888888889,0.8468
36,0.5330248016781277,0.4356929607391357,0.8172,0.8486
37,0.5352457388559977,0.4344622635960579,0.8156222222222222,0.8476
38,0.5250581631024679,0.42205687785744667,0.819,0.848
39,0.5227955290370517,0.42357442380189897,0.8226888888888889,0.8496
40,0.5274233694977231,0.42693672686219214,0.8205111111111111,0.8472
